bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
CLP_9.F.bam.depth.gz	15.4195269602621	29.1579494301034	23.2344854569945	13.8813766423013	9	0.663648307977785
CS19_10.F.bam.depth.gz	13.4269026074925	17.9609874484064	19.685691318509	12.3014417482879	11	0.682064063194405
CS19_11.F.bam.depth.gz	11.679298349379	16.4837215492206	17.2929049747707	10.7906671940136	10	0.675380936078371
CS19_12.F.bam.depth.gz	15.518320757271	22.792139554293	22.6071610787208	14.3194273083787	13	0.686433856212008
CS19_13.F.bam.depth.gz	16.2206472531318	23.3202635520842	23.4797853983796	14.8768617121619	14	0.690834561641812
CS19_14.F.bam.depth.gz	11.3403635191054	16.7036436472165	16.8281380392806	10.389212946016	9	0.673892946006889
CS19_1.F.bam.depth.gz	18.8311438918031	35.5099240357487	27.6344885625215	17.395598981117	13	0.681436309168215
CS19_2.F.bam.depth.gz	19.6878119434419	32.2096682590921	28.8687567813212	18.0795377187128	16	0.681976438838942
CS19_3.F.bam.depth.gz	16.3025570402054	38.9588906054747	26.1762755800742	13.7561396055948	4	0.622798953592284
CS19_4.F.bam.depth.gz	14.7001220043526	46.159322737685	22.6137928696621	12.18304905086	4	0.650051147504608
CS19_5.F.bam.depth.gz	17.257887066782	32.910106930143	25.508385762905	15.9012449591549	11	0.676557396739283
CS19_6.F.bam.depth.gz	10.51782178184	14.6891754997252	15.7192994393631	9.64714314103822	8	0.669102450933837
CS19_7.F.bam.depth.gz	14.3760305339788	20.4843408258189	21.2146236118994	13.109642727376	12	0.6776472115167
CS19_8.F.bam.depth.gz	15.8767690451902	26.7750643454077	23.486446297474	14.4180728309645	11	0.675997076956651
CS19_9.F.bam.depth.gz	12.8173973405644	19.0648078519364	18.8967389826672	11.7470737782898	11	0.678286203366479
CS_1.F.bam.depth.gz	10.8728596655838	15.3215923343016	15.8597774653216	10.0479579535511	9	0.685561931077696
CS_2.F.bam.depth.gz	10.4377478024049	16.1959136006815	15.2628264944965	9.67258484849766	9	0.683867290647101
CS_3.F.bam.depth.gz	10.151111736642	15.9169233326719	14.55059785442	9.54952666750384	9	0.697642243858324
CS_5.F.bam.depth.gz	10.7414748833353	16.4630791131596	15.7462455660606	9.90446114316678	9	0.682161016622913
CS_6.F.bam.depth.gz	9.14920353666428	13.4036448497834	13.4960475881254	8.46643319484275	8	0.677917255176178
CS_7.F.bam.depth.gz	9.88315041593486	14.9994961783478	14.5783466278859	9.14420512922937	8	0.677933559147918
DEBY_10.F.bam.depth.gz	14.3432166951667	24.5792740444202	21.7793916547852	12.9535427595982	9	0.65856828889063
DEBY_1.F.bam.depth.gz	10.0844224987184	16.1357609362085	14.7352592028965	9.35259918506851	8	0.684373607539461
DEBY_2.F.bam.depth.gz	8.50505386029271	15.5834473619111	12.5592275292919	7.9054483029092	6	0.677195618955139
DEBY_3.F.bam.depth.gz	12.8428076646837	20.0272016495567	18.6852301794858	11.7985797252355	10	0.687324027657939
DEBY_4.F.bam.depth.gz	7.81901233483509	12.6853182527157	11.5982005586695	7.26887434815774	6	0.674157365643152
DEBY_5.F.bam.depth.gz	9.66092848157096	15.0008812856528	14.2697985518819	8.961741027393	8	0.677019261796116
DEBY_6.F.bam.depth.gz	9.83819131132683	15.3186729489891	14.4136032735675	9.09853209332421	8	0.68256293201655
DEBY_7.F.bam.depth.gz	21.5436838635517	31.9957225947998	31.5017375475516	19.7306422175109	18	0.683888748391348
DEBY_8.F.bam.depth.gz	18.165855968567	29.876005091527	26.7435659810935	16.695047903533	15	0.679260797958086
DEBY_9.F.bam.depth.gz	16.0959963500202	25.5569061276489	23.944008029633	14.7409577691896	13	0.672234837630492
HC_10.F.bam.depth.gz	15.0471348421748	22.235664576712	22.053064166399	13.8219808952731	12	0.682314925882472
HC_11.F.bam.depth.gz	18.8676223870677	28.9334529958419	27.3621765691068	17.3899857134212	16	0.689551225554543
HC_1.F.bam.depth.gz	10.9385075508424	16.2469099179158	16.0170057193625	10.1380279127629	9	0.682930863764328
HC_3.F.bam.depth.gz	9.00270912893078	13.2041403896147	13.351035861694	8.30124586839355	7	0.674307913048272
HC_4.F.bam.depth.gz	11.4012029915605	16.3782548040651	16.6060716962298	10.5420227644967	10	0.686568334770743
HC_5.F.bam.depth.gz	12.9450363218101	19.8674507243927	18.6928144528736	12.0543380188837	11	0.692514032836071
HC_6.F.bam.depth.gz	8.01128348610001	11.694267346276	11.8786095407427	7.40217835279846	7	0.674429398375498
HC_7.F.bam.depth.gz	21.6589851150341	37.9821584120563	30.1945071084178	20.2315057021141	18	0.717315405655026
HC_8.F.bam.depth.gz	16.525263572311	29.7760095039549	24.3844427858837	15.3043998287591	13	0.677696993833851
HC_9.F.bam.depth.gz	18.0077656281819	27.9197317302543	26.4480767909399	16.5407484224623	14	0.680872404089038
HC_VA_10.F.bam.depth.gz	20.688942207073	35.3071586954223	30.1033342075713	18.8269265560176	15	0.687264143713009
